state,ags,place,population
BB,120615108216,Halbe,2517
RP,071385009061,Rengsdorf,2868
SH,010545489068,Klixbüll,1058
SH,010615179060,Kudensee,119
MV,130715159087,Lärz,477
TH,160765056039,Langenwetzendorf,3952
BY,096735639182,Willmars,575
TH,160745050081,Ruttersdorf-Lotschen,345
NW,051540008008,"Emmerich am Rhein, Stadt",30770
NW,055580012012,"Coesfeld, Stadt",37371
BB,120735304309,Hohenselchow-Groß Pinnow,681
BY,096735634134,Höchheim,1086
BW,084255010098,Rechtenstein,293
BW,081360042042,"Lorch, Stadt (Landkreis Ostalbkreis)",10784
BY,094715445173,Priesendorf,1528
BY,097740155155,"Leipheim, St",7205
TH,160645054076,Unstrut-Hainich,5119
SH,010615153022,Dägeling,1026
HE,065330006006,Elz,8001
MV,130735361082,Schlemmin,276
HE,066310003003,Dipperz,3578
RP,071405009104,Niederburg,678
BY,091750139139,Zorneding,9199
SH,010535391039,Groß Boden,213
BW,082365007044,Neuhausen,5143
BY,093750180180,Pentling,5970
BY,097735718182,"Wertingen, St",9197
TH,160615014023,Dieterode,81
BY,091840127127,Höhenkirchen-Siegertsbrunn,11006
RP,073375003032,Gommersheim,1583
RP,071375002114,Wierschem,328
BW,083165005037,Riegel am Kaiserstuhl,3979
RP,071375004106,Volkesfeld,557
RP,073335003012,Bubenheim (Landkreis Donnersbergkreis),439
RP,073315001014,Dintesheim,147
SH,010545417104,Poppenbüll,236
BY,094730174174,Weidhausen b.Coburg,3167
MV,130755560017,Brietzig,191
NI,033575405034,Lengenbostel,482
BY,093745323144,"Parkstein, M",2375
NI,033575408018,Gyhum,2400
BW,083275002040,Reichenbach am Heuberg,461
BY,096755619174,"Volkach, St",8669
MV,130755553022,Butzow,435
BY,094765433180,"Teuschnitz, St",1874
BW,083350080080,"Tengen, Stadt",4756
MV,130735351066,Preetz,1119
BW,084365008083,Wilhelmsdorf (Landkreis Ravensburg),4692
BW,081270008008,Blaufelden,5323
BY,097760111111,Bodolz,2965
BY,097770147147,Lechbruck am See,2649
RP,071415007131,Strüth,320
BY,093725308163,Tiefenbach (Landkreis Cham),1907
BB,120625205293,Lichterfeld-Schacksdorf,914
RP,071335009204,Schneppenbach,230
RP,073315006061,Spiesheim,981
BW,082375002075,Bad Rippoldsau-Schapbach,2047
NI,034545403009,Dohren (Landkreis Emsland),1164
HE,065320003003,"Braunfels, Stadt",10921
RP,073320024024,"Grünstadt, Stadt",14180
RP,071385004075,Vettelschoß,3695
SH,010545494010,Bargum,664
BY,094785441143,"Marktgraitz, M",1104
SH,010550046046,"Fehmarn, Stadt",13291
RP,072355001114,Reinsfeld,2373
RP,071325010116,Willroth,974
RP,071405003502,Lahr,167
TH,160660093093,Rhönblick,2643
TH,160765004034,Kauern,419
NI,032520008008,"Salzhemmendorf, Flecken",9219
HE,066360016016,"Witzenhausen, Stadt",15162
BY,097800123123,"Bad Hindelang, M",4906
BW,081265001085,"Waldenburg, Stadt (Landkreis Hohenlohekreis)",2970
RP,071405008099,Mutterschied,454
BY,096755614116,Castell,866
BB,120695910448,"Niemegk, Stadt",2014
RP,071345002053,Meckenbach (Landkreis Birkenfeld),109
NI,032555408016,Halle (Landkreis Holzminden),1400
BW,084255005033,"Ehingen (Donau), Stadt",27241
NI,033535405013,Gödenstorf,1030
BW,081275005043,"Ilshofen, Stadt",6909
BY,095755524143,"Marktbergel, M",1595
MV,130755553155,Neetzow-Liepen,819
NW,051240000000,"Wuppertal, Stadt",356768
BY,091770119119,Forstern,3672
SH,010575775050,Martensrade,934
NI,033555407011,Brietlingen,3366
BY,095710199199,Schnelldorf,3528
MV,130745458092,Wedendorfersee,695
RP,071335011091,Schöneberg (Landkreis Bad Kreuznach),623
BY,097755741161,Unterroth,1089
RP,071325010103,Seelbach (Westerwald),291
BW,083355006098,Bodman-Ludwigshafen,4742
RP,071435004071,Simmern,1542
BW,081175003042,Salach,7976
RP,071375009212,Kobern-Gondorf,2980
BY,095740158158,Simmelsdorf,3236
RP,071315001069,Reifferscheid,500
SN,145215139700,Zschorlau,5108
MV,130715163044,Golchen,261
RP,071435005068,Sessenbach,513
TH,160615008014,Bornhagen,238
BY,094775437129,"Kupferberg, St",1065
RP,073335007053,Oberhausen an der Appel,151
BW,082370002002,"Alpirsbach, Stadt",6180
RP,073395008068,Zotzenheim,634
BB,120735306430,Oberuckersee,1631
NI,031545402027,Söllingen,1560
BY,097720171171,Langweid a.Lech,8501
BY,096765627132,"Kleinheubach, M",3619
MV,130765662129,Stolpe,320
SN,145215139080,Bockau,2148
BY,096775620137,Hasloch,1380
BY,093770116116,"Erbendorf, St",5077
BB,120665607132,Hohenbocka,995
RP,071325010093,Reiferscheid,443
BY,097715701169,Todtenweis,1445
RP,071335011114,Windesheim,1814
BB,120690020020,"Bad Belzig, Stadt",10996
BY,091875165170,Rott a.Inn,4061
NW,053620040040,"Wesseling, Stadt",37301
RP,073315001001,Albig,1591
TH,160775005034,Monstab,389
SH,010555546011,Damlos,644
NW,051540056056,Uedem,8197
BW,084175006016,Dotternhausen,1845
BY,095775535163,Raitenbuch,1210
BY,091905175114,Bernbeuren,2435
NI,033525411008,Bülkau,850
RP,071435004023,Görgeshausen,918
RP,072315008022,Dierscheid,162
NI,033545406011,Jameln,1086
SH,010585889022,Bordesholm,7789
NI,033515402007,Eicklingen,3123
SH,010585890083,Hütten (Kreis Rendsburg-Eckernförde),215
BW,081185008073,"Vaihingen an der Enz, Stadt",28576
BW,084265004019,Berkheim,3106
SH,010625270058,Rausdorf (Kreis Stormarn),221
BW,081255001005,"Bad Friedrichshall, Stadt",19746
BW,081195001003,Allmersbach im Tal,5065
ST,150905052500,Schönhausen (Elbe),2142
SH,010625244003,Badendorf,913
BY,096620000000,Schweinfurt,53242
BY,097755739143,"Pfaffenhofen a.d.Roth, M",7260
RP,071405004165,Würrich,156
BW,081275003101,Kreßberg,3971
TH,160775050039,Ponitz,1486
RP,071315004206,Hohenleimbach,356
RP,072325005068,Koxhausen,91
BB,120695904056,Borkwalde,1894
BW,082355002029,Gechingen,3605
NI,032565409003,"Bücken, Flecken",2166
MV,130745453093,Stepenitztal,1784
BY,095710175175,"Lichtenau, M",3798
HE,066310007007,"Eiterfeld, Marktgemeinde",7014
RP,072325006279,Nimshuscheid,265
BW,081175009012,Bad Boll,5189
SH,010535313134,Woltersdorf (Kreis Herzogtum Lauenburg),350
SH,010565687009,Borstel-Hohenraden,2401
BY,096755617112,Albertshofen,2166
BY,091790121121,"Fürstenfeldbruck, GKSt",35844
MV,130710107107,"Neubrandenburg, Vier-Tore-Stadt",59794
RP,073315001027,Freimersheim,701
BY,095760127127,"Hilpoltstein, St",13594
RP,071345005012,Bollenbach,134
TH,160615012097,Uder,2707
MV,130765657076,Kremmin,245
SN,145210250250,Großrückerswalde,3326
BY,093775348129,"Kemnath, St",5615
RP,073365010097,Thallichtenberg,523
HE,064390011011,Niedernhausen,14410
SH,010560049049,"Uetersen, Stadt",18344
BW,081365006009,Böbingen an der Rems,4640
HE,066360012012,"Waldkappel, Stadt",4167
RP,071355002045,"Kaisersesch, Stadt",3197
NW,051540052052,"Straelen, Stadt",16314
BY,093720164164,Traitsching,4182
TH,160615014085,Schwobfeld,101
BB,120625209237,Hohenbucko,612
BW,084255004014,Beimerstetten,2383
BY,092710138138,Niederalteich,1801
BY,091740136136,Petershausen,6329
BW,082265005006,Bammental,6504
BB,120730384384,"Lychen, Stadt",3167
NI,033535402004,Brackel,1939
MV,130715153007,Basedow,684
HE,064400007007,"Florstadt, Stadt",9009
BW,081155003021,"Herrenberg, Stadt",33344
BY,097775770163,Rieden am Forggensee,1365
SH,010515169035,Gaushorn,175
BY,091780122122,Rudelzhausen,3485
NI,033525407020,Hechthausen,3530
HE,065350019019,Wartenberg,3475
BY,091810144144,Utting am Ammersee,4480
BY,094790129129,"Kirchenlamitz, St",3143
TH,160695002037,Reurieth,772
NI,032555408003,"Bodenwerder, Münchhausenstadt",4775
RP,071315002027,Heckenbach,237
HE,066350022022,Willingen (Upland),5841
SN,146255218300,Laußnitz,1842
MV,130715156147,Userin,688
NI,031545404004,Danndorf,2463
NI,034625402013,Schweindorf,744
TH,160635006104,"Amt Creuzburg, Stadt",4686
SH,010615189088,Quarnstedt,436
TH,160615008001,Arenshausen,995
SH,010535313014,Breitenfelde,2099
BY,091730137137,Münsing,4352
SH,010595937176,Wees,2399
MV,130765657050,"Grabow, Stadt",5436
RP,071415003057,Hirschberg,406
MV,130755552003,Altwarp,422
BW,081175001006,Bad Ditzenbach,3726
BW,082255001032,Hardheim,6765
NI,034520025025,"Wiesmoor, Stadt",13833
RP,071345002018,Dambach,156
BY,091820134134,Waakirchen,5471
SL,100410100100,"Saarbrücken, Landeshauptstadt",179296
ST,150830490490,Sülzetal,8658
MV,130745456056,Neuburg,2184
BW,084355004036,"Meersburg, Stadt",5893
TH,160705002011,Elgersburg,1200
BY,096795648138,"Giebelstadt, M",5344
NI,034590003003,Bad Essen,16143
RP,072355006019,Ensch,463
NI,031515401004,Bokensdorf,1267
RP,071415007037,Endlichhofen,142
BW,082165003005,Bietigheim,6373
BY,092745226118,Baierbach,764
ST,150835052230,Flechtingen,2719
BB,120735304393,Mescherin,755
RP,071405003204,Mastershausen,1010
RP,073375002013,Böllenborn,230
BY,095775533149,"Markt Berolzheim, M",1296
SH,010575739045,Lebrade,588
NI,033590013013,Drochtersen,11138
NW,055620024024,"Marl, Stadt",85684
RP,071435004036,Hübingen,525
RP,071345005025,Fischbach (Landkreis Birkenfeld),864
SH,010535308024,Düchelsdorf,154
BW,084255008005,Altheim (Alb),1692
BY,091760129129,Großmehring,7311
MV,130725260072,Mönchhagen,1294
TH,160725051006,Goldisthal,350
BY,097735716119,Blindheim,1694
ST,150860040040,"Genthin, Stadt",13624
BY,097760120120,Nonnenhorn,1780
BY,096780123123,Dittelbrunn,7317
RP,071435009288,Rotenhain,505
NI,031515404037,Wasbüttel,1776
SN,146255207040,"Bischofswerda, Stadt",10762
SH,010615168014,Bokhorst,138
SH,010545488143,Utersum,412
RP,073345006015,Kuhardt,1940
TH,160745052073,Rauschwitz,220
NI,034540018018,"Haren (Ems), Stadt",24152
HE,066340023023,"Schwarzenborn, Stadt",1109
BW,083165001009,Denzlingen,13579
BW,083110000000,"Freiburg im Breisgau, Stadt",233040
BW,083355003025,Gaienhofen,3292
BW,084265007124,Uttenweiler,3694
NI,031590016016,"Göttingen, Stadt",124548
BY,096720135135,"Münnerstadt, St",7604
RP,071415010026,Dessighofen,183
BW,084365002014,Bergatreute,3154
NI,032410021021,"Wunstorf, Stadt",40984
RP,071355001015,Briedern,366
BW,082155002007,"Bretten, Stadt",29871
RP,073325005034,Lindenberg (Landkreis Bad Dürkheim),1076
BY,092785257140,Irlbach,1170
BY,096750127127,"Geiselwind, M",2543
RP,071310070070,"Remagen, Stadt",17719
BY,097745732160,"Münsterhausen, M",1970
TH,160745007104,Unterbodnitz,194
SH,010540056056,"Husum, Stadt",23628
RP,071325010009,Birnbach,633
RP,073335004031,Ilbesheim,605
NI,034570014014,Moormerland,23372
RP,072325005042,Gentingen,76
MV,130735359013,Breege,587
BW,081155002015,Gärtringen,12903
TH,160615012084,Schönhagen,148
SN,145215132570,"Seiffen/Erzgeb., Kurort",1917
BY,097725706134,Ehingen (Landkreis Augsburg),1114
RP,073365010084,Reichweiler,525
SH,010515178127,"Wesselburen, Stadt",3346
MV,130745459052,Menzendorf,241
TH,160615014098,Volkerode,239
NI,033605407010,Hanstedt,910
BY,091875184159,Pfaffing,4032
BY,096775621119,Birkenfeld (Landkreis Main-Spessart),2170
NW,057700036036,"Preußisch Oldendorf, Stadt",12434
HE,064350029029,"Wächtersbach, Stadt",12485
TH,160610115115,"Leinefelde-Worbis, Stadt",20066
BW,084265003011,Attenweiler,1902
HE,064320009009,"Groß-Bieberau, Stadt",4704
BY,091780133133,Hohenkammer,2654
MV,130755552089,Meiersberg,408
SH,010595987049,Klappholz,461
TH,160630099099,"Bad Liebenstein, Stadt",7768
NI,033595409022,Hammah,3115
BY,096710156156,Waldaschaff,4092
RP,071415007084,Marienfels,332
MV,130765652016,Brahlstorf,690
BY,093740124124,"Grafenwöhr, St",6148
RP,073385008001,Altrip,7655
SH,010575727076,Schwartbuck,784
RP,071335010011,Becherbach,854
BY,091835145120,Heldenstein,2746
MV,130715163081,Kriesow,290
BY,091890114114,Chieming,4595
BY,094750141141,Köditz,2387
SH,010575747033,Kirchbarkau,813
NW,055660032032,Ladbergen,6765
BW,083175004046,Hofstetten (Landkreis Ortenaukreis),1786
ST,150815051095,Dähre,1375
ST,150895052165,"Güsten, Stadt",3967
SH,010615138065,Lohbarbek,801
RP,071435002212,Borod,517
MV,130765659018,Bresegard bei Eldena,187
SH,010545488098,Oldsum,561
BW,082150084084,Ubstadt-Weiher,13154
BW,081165004046,"Neuffen, Stadt",6024
MV,130715162074,Kittendorf,277
BY,094725413167,Mistelgau,3819
NI,032515405011,Dickel,456
SH,010535391086,Lüchow,307
RP,071405009031,Dörth,528
BW,083370062062,Klettgau,7496
ST,150815051105,"Diesdorf, Flecken",2165
BY,092730116116,"Bad Abbach, M",12383
BW,082365001025,"Heimsheim, Stadt",5420
HE,064370009009,Höchst i. Odw.,9758
HE,066330009009,Fuldatal,12191
RP,073405001043,Schindhard,521
RP,072315008049,Hasborn,594
MV,130765662056,Groß Godems,389
SH,010625270020,Grande,685
TH,160715008037,Kapellendorf,433
SH,010515169020,Delve,760
NW,055660056056,Mettingen,11507
RP,071325009030,Fensdorf,373
BY,096760165165,"Weilbach, M",2075
RP,071415010132,Sulzbach (Landkreis Rhein-Lahn-Kreis),190
MV,130715151136,Siedenbrünzow,442
MV,130765668158,Zapel,436
SH,010545488085,Nebel,921
HE,066340010010,Jesberg,2171
RP,071345005039,Herrstein,825
ST,150845051012,An der Poststraße,1566
RP,071435007046,Maxsain,1034
BY,091730124124,Gaißach,3163
ST,150845053170,Goseck,1029
BW,083155002059,Ihringen,6212
SL,100430115115,"Ottweiler, Stadt",14425
RP,071415007107,Oelsberg,571
BY,096745610118,Breitbrunn,1011
RP,073365010070,Oberalben,222
BY,091830113113,Aschau a.Inn,3340
BW,084355007047,Owingen,4468
BY,097785765151,Holzgünz,1304
NW,051700052052,"Xanten, Stadt",20919
NW,059740028028,"Lippstadt, Stadt",68100
BY,093745326129,"Kirchenthumbach, M",3260
NI,034545409027,Lahn,868
NI,034565403018,Quendorf,644
MV,130715158005,"Ankershagen, Schliemanngemeinde",509
HE,065330002002,Brechen,6385
RP,073365008065,Nerzweiler,114
NI,032515404004,"Barenburg, Flecken",1217
RP,071435008316,Zehnhausen bei Wallmerod,193
NI,032520006006,"Hameln, Stadt",58123
SN,145245118190,"Meerane, Stadt",13897
BY,094745423143,Kirchehrenbach,2186
SH,010595974083,Süderbrarup,5231
NI,032410010010,"Langenhagen, Stadt",53711
BB,120725204298,Niederer Fläming,3041
SH,010545453123,Sollwitt,285
HE,065330017017,"Weilburg, Stadt",12751
BY,091790149149,Türkenfeld,3633
RP,071435002225,Giesenhausen,346
SN,145210020020,"Annaberg-Buchholz, Stadt",18942
BY,091720132132,Schönau a.Königssee,5383
BY,092725214138,"Perlesreut, M",2840
SH,010575747046,Lehmkuhlen,1247
RP,071415011032,Dörsdorf,417
BY,093740133133,"Luhe-Wildenau, M",3447
RP,071335010024,Desloch,318
NW,059700044044,Wilnsdorf,20115
RP,072325008017,Birtlingen,46
BY,091830128128,"Mühldorf a.Inn, St",21917
BY,091900158158,Wessobrunn,2213
NW,059740052052,"Werl, Stadt",29984
HE,064310008008,Gorxheimertal,4146
BY,091790134134,Maisach,13901
RP,071415003030,Dörnberg,465
SH,010560021021,Hasloh,3755
SN,146270070070,Hirschstein,1948
RP,073335004046,Mörsfeld,484
SN,145210160160,"Ehrenfriedersdorf, Stadt",4442
SH,010545494071,Kolkerheide,75
SH,010615179023,Dammfleth,269
BW,081180051051,Möglingen,10618
RP,072325008137,Wolsfeld,1035
MV,130735355034,Gremersdorf-Buchholz,630
SN,146265235160,Hähnichen,1202
MV,130715157140,Sponholz,751
NI,032540032032,Söhlde,7568
NI,034545406004,Bockhorst,994
BW,081180060060,Oberstenfeld,7534
ST,150845051132,Finne,1192
SH,010625270033,Hohenfelde (Kreis Stormarn),46
NI,032515407027,Mellinghausen,1073
SN,145210390390,"Marienberg, Stadt",16439
NW,059700020020,"Hilchenbach, Stadt",14488
NW,055660080080,"Saerbeck, NRW-Klimakommune",6865
SN,147305303320,Trossin,1256
RP,071325010056,Idelberg,67
MV,130745451030,Groß Stieten,552
RP,071315004208,Spessart,829
BY,091875160123,Chiemsee,191
BY,092730164164,"Riedenburg, St",6058
SH,010515163051,Hochdonn,1124
RP,073385007007,Dudenhofen,6054
SH,010580005005,Altenholz,9895
NI,034610004004,"Elsfleth, Stadt",9012
HE,064110000000,"Darmstadt, Wissenschaftsstadt",161767
HE,066320008008,"Haunetal, Marktgemeinde",2850
BY,096795646206,"Winterhausen, M",1369
BY,097745728140,Haldenwang (Landkreis Günzburg),2037
RP,073365009096,Steinbach am Glan,861
TH,160690061061,Masserberg,2062
BB,120695902541,Roskow,1191
BW,084255007084,Nellingen,1988
NI,033605405009,Gerdau,1422
BB,120700296296,"Perleberg, Stadt",12134
NI,034545402012,"Freren, Stadt",4828
HE,066350011011,"Frankenberg (Eder), Philipp-Soldan-Stadt",17446
RP,071375002030,Gierschnach,276
BY,091820112112,Bayrischzell,1505
SH,010590120120,Harrislee,11798
RP,071385002024,Hammerstein,357
RP,071325010043,Güllesheim,759
NI,031515407035,Wagenhoff,1181
BY,092740141141,Hohenthann,4118
SH,010535391099,Poggensee,363
BB,120695918696,"Ziesar, Stadt",2416
BW,084250039039,"Erbach, Stadt",13928
SH,010575747059,Postfeld,423
BY,092795208125,Mamming,3260
SH,010535358062,Kittlitz,299
BY,094750189189,"Zell im Fichtelgebirge, M",1897
BW,083365007036,Hausen im Wiesental,2311
ST,150815051225,Jübar,1543
BY,096775623133,Gräfendorf,1295
HE,065320001001,"Aßlar, Stadt",14288
SH,010545453003,Ahrenviöl,524
RP,072325005069,Kruchten,388
RP,073355011012,Hauptstuhl,1194
SH,010535391109,Schiphorst,681
HE,065340018018,"Stadtallendorf, Stadt",21101
TH,160695002035,Oberstadt,329
NI,033525407022,"Hemmoor, Stadt",8554
NI,034565401002,Emlichheim,7477
BY,094725413141,Glashütten (Landkreis Bayreuth),1327
SH,010515175104,Schrum,74
BY,095740156156,Schwaig b.Nürnberg,8682
BY,091840129129,Hohenbrunn,8821
BW,084255008112,Setzingen,709
BY,092785250177,Rain,2889
NW,057580020020,Kirchlengern,16214
BB,120510000000,"Brandenburg an der Havel, Stadt",73552
BW,084175002022,"Geislingen, Stadt",5873
MV,130755558082,"Loitz, Stadt",4267
BY,091880137137,Pöcking,5474
SN,145235122300,"Oelsnitz/Vogtl., Stadt",10306
NI,031590001001,"Adelebsen, Flecken",6186
BB,120615113352,Neu Zauche,1064
TH,160735012055,Meura,397
SH,010585889144,Schönbek,215
BW,083155010070,"Löffingen, Stadt",7675
BY,091710131131,Teising,1744
SN,145210670670,"Wolkenstein, Stadt",3815
RP,071325010069,Mehren,458
MV,130735360039,Hugoldsdorf,120
NW,059780036036,"Unna, Stadt",59515
BW,082365006073,Neulingen,6571
SH,010515163064,Kuden,622
BW,084255006064,Hüttisheim,1469
BY,091835147123,Kirchdorf (Landkreis Mühldorf a.Inn),1327
RP,071375003063,Lind (Landkreis Mayen-Koblenz),50
BY,096730149149,"Oberelsbach, M",2639
NI,031595402027,Rhumspringe,1777
NI,033575405032,Klein Meckelsen,927
NI,033595403005,Bargstedt (Landkreis Stade),2089
BB,120685805109,Dreetz (Landkreis Ostprignitz-Ruppin),1137
MV,130735351068,Prohn,2145
HE,064340011011,"Usingen, Stadt",15227
RP,071435004072,Stahlhofen,775
BY,093710150150,"Schnaittenbach, St",4280
TH,160615013018,Büttstedt,872
RP,071435010049,Moschheim,744
BY,093760117117,"Bruck i.d.OPf., M",4229
BW,084255007071,"Laichingen, Stadt",11955
NI,031595401009,"Dransfeld, Stadt",4337
BY,093760150150,"Wernberg-Köblitz, M",5586
RP,071385009026,Hardert,852
BY,097730117117,"Bissingen, M",3535
SN,146280130130,"Glashütte, Stadt",6564
SN,146285201170,Hermsdorf/Erzgeb.,748
BY,097800112112,"Altusried, M",10191
HE,064350001001,"Bad Orb, Stadt",9724
RP,072325008124,Stockem,99
BY,097795722184,Mönchsdeggingen,1408
RP,073335003074,Standenbühl,198
BY,094710214214,"Zapfendorf, M",4910
NI,034620005005,Friedeburg,10282
BW,082150108108,"Rheinstetten, Stadt",20820
RP,071405004082,Lautzenhausen,418
SN,146250020020,"Bautzen, Stadt",38084
SH,010515172107,Stelle-Wittenwurth,460
NI,033575404014,Farven,618
RP,071335010501,"Bad Sobernheim, Stadt",6510
BB,120695918648,Wenzlow,546
NI,031550006006,Kalefeld,5847
NW,059150000000,"Hamm, Stadt",179070
HE,064350016016,Jossgrund,3372
SH,010575755081,Stoltenberg,323
TH,160685005015,Griefstedt,235
MV,130715160071,Kargow,646
TH,160700048048,"Stadtilm, Stadt",8321
BY,097775754138,Günzach,1393
NI,033560008008,Ritterhude,14712
HE,066310016016,Kalbach,6411
NI,034545405059,Wettrup,513
RP,071385003031,Isenburg,647
RP,071345002078,Schmißberg,207
BY,095755519127,Gollhofen,867
SN,146255211170,Großharthau,2934
SH,010595987084,Süderfahrenstedt,466
MV,130765656104,Neu Poserin,504
RP,071405003147,Spesenroth,152
RP,072325001255,Lascheid,81
TH,160645051019,Großvargula,714
RP,071405004105,Nieder Kostenz,182
NI,033525411056,Wingst,3303
NI,031585403005,Cramme,810
NI,032565411023,Pennigsehl,1206
NW,059660008008,"Drolshagen, Stadt",11825
RP,071405009116,Perscheid,329
BY,093730156156,"Pyrbaum, M",5826
SH,010615134037,Herzhorn,1122
RP,072325005127,Übereisenbach,50
BY,093755333127,Deuerling,1909
BW,081185001047,Löchgau,5632
NI,034575402003,Brinkum,808
BW,083355003061,Öhningen,3589
RP,072325008111,Röhl,426
NI,034545407024,Klein Berßen,1160
BY,095755518157,"Oberscheinfeld, M",1063
NI,033575402049,Vahlde,688
RP,072315001105,Piesport,2021
SH,010615104016,Breitenberg (Kreis Steinburg),346
BW,083355001097,Mühlhausen-Ehingen,3945
HE,064350003003,Biebergemünd,8277
BW,081255006066,Neckarwestheim,4103
RP,072315008107,Platten,859
BY,097725711162,Klosterlechfeld,2968
HE,064330010010,"Raunheim, Stadt",14908
HE,065350008008,"Herbstein, Stadt",4603
MV,130725261116,Wiendorf,819
SN,147290160160,"Grimma, Stadt",27639
BY,093750208208,Wenzenbach,8693
MV,130745451008,Bobitz,2486
BY,092710125125,"Hengersberg, M",7741
HE,066310018018,Neuhof (Landkreis Fulda),10741
NW,055580036036,"Olfen, Stadt",12814
RP,071335009073,Oberhausen bei Kirn,890
RP,072335006235,Reuth,182
BW,083255003064,Wellendingen,3252
NW,057540036036,"Schloß Holte-Stukenbrock, Stadt",26120
BY,091880113113,Berg (Landkreis Starnberg),8206
NI,034530006006,Essen (Oldenburg),9274
NW,051160000000,"Mönchengladbach, Stadt",264089
SH,010535358088,Mechow,141
RP,073375007061,Offenbach an der Queich,6322
BB,120645406268,"Lebus, Stadt",3100
NI,031585407032,Vahlberg,695
BY,091810122122,Geltendorf,5676
SH,010535373059,Kankelau,231
BY,091875162139,Halfing,2739
NI,032565410016,Husum,2336
SH,010585895167,Wapelfeld,319
SN,147300180180,Löbnitz (Landkreis Nordsachsen),2110
RP,073395007037,Mommenheim,3041
NI,031595402014,"Gieboldehausen, Flecken",3791
NI,034520001001,"Aurich, Stadt",41631
HE,066360001001,"Bad Sooden-Allendorf, Stadt",8132
RP,071415007097,Niederwallmenach,418
BW,081255002087,Siegelsbach,1667
NI,033595405007,Bliedersdorf,1832
SN,145220150150,"Frankenberg/Sa., Stadt, Garnisonsstadt",13576
BW,081285001058,Igersheim,5452
RP,071405003001,Alterkülz,379
BW,083155008052,Hinterzarten,2497
BW,081365003084,Wört,1472
BW,081250107107,Wüstenrot,6779
ST,150845054560,Wethau,861
BW,082265005056,"Neckargemünd, Stadt",13201
BY,096780132132,Geldersheim,2741
NI,033525411043,Odisheim,472
RP,073375002062,Pleisweiler-Oberhofen,858
SH,010615189028,Fitzbek,396
NI,033575402023,Helvesiek,871
SH,010615138052,Kleve (Kreis Steinburg),541
RP,072355008057,Kastel-Staadt,423
BB,120610433433,Schönefeld,18461
RP,071415010087,Misselberg,97
SN,146280410410,"Wilsdruff, Stadt",14519
BW,081180003003,"Asperg, Stadt",13141
SH,010585890035,Bünsdorf,531
BW,083375006059,Ibach,317
SH,010575775016,Dobersdorf,1128
SL,100420114114,Mettlach,12545
RP,072325005114,Schankweiler,204
BB,120645406388,Podelzig,853
SH,010545439078,List auf Sylt,1404
RP,072355006067,Köwerich,401
BW,081150044044,Schönaich,10339
NI,032565408034,Warmsen,3158
RP,072325007104,Philippsheim,84
NW,055130000000,"Gelsenkirchen, Stadt",264130
BY,091775125124,Kirchberg,1127
BB,120685805501,Zernitz-Lohm,895
BY,095755518144,"Markt Bibart, M",1792
NW,053620016016,"Elsdorf, Stadt",21124
MV,130765652136,Teldau,865
RP,071415011102,Oberneisen,713
BW,082165006063,Rheinmünster,6592
BY,096775624164,Neuendorf (Landkreis Main-Spessart),822
RP,073335006071,Sippersfeld,1082
BY,091750115115,"Ebersberg, St",12030
BY,093720155155,Runding,2288
SL,100410518518,"Sulzbach/ Saar, Stadt",16419
TH,160635006046,Krauthausen,1557
BW,082260041041,"Leimen, Stadt",26852
SH,010605048100,Winsen,377
SH,010595987097,Twedt,498
MV,130745456007,Blowatz,1236
NI,034595401007,Badbergen,4306
BW,083355005077,Steißlingen,4957
BB,120705006153,Halenbeck-Rohlsdorf,524
BW,081365009068,Stödtlen,1797
MV,130715159073,Kieve,128
BW,084175005045,Nusplingen,1895
NW,059740004004,Anröchte,10237
MV,130715163059,Gültz,518
SN,146250600600,Wachau,4218
NI,034020000000,"Emden, Stadt",48920
BW,081165003063,Schlaitdorf,1865
HE,066360003003,"Eschwege, Kreisstadt",18984
HE,064360004004,"Flörsheim am Main, Stadt",21383
MV,130765664020,"Brüel, Stadt",2573
TH,160775050012,"Gößnitz, Stadt",3385
BB,120645406420,Reitwein,451
NI,031595401031,Scheden,1851
BY,092780184184,Sankt Englmar,1839
BY,096715604152,"Schöllkrippen, M",4098
RP,071355005068,Neef,417
HE,065340007007,Dautphetal,11379
RP,071405009080,Laudert,433
BB,120730452452,"Prenzlau, Stadt",18847
BW,083165006042,Simonswald,2943
RP,073355010041,Schallodenbach,870
BW,083165004017,"Herbolzheim, Stadt",10813
HE,066320019019,Schenklengsfeld,4261
RP,073335007054,"Obermoschel, Stadt",1077
NW,051620008008,"Grevenbroich, Stadt",65230
RP,071435010275,Niedersayn,183
BW,083365008100,Wittlingen,924
ST,150895051075,"Egeln, Stadt",3134
TH,160750046046,"Hirschberg, Stadt",2083
SN,145240200200,Mülsen,10778
SH,010605005033,Hardebek,481
NW,055540028028,Heiden,8322
RP,071435006218,Elsoff (Westerwald),957
HE,064310019019,Rimbach (Landkreis Bergstraße),8642
BW,081195004024,Großerlach,2616
BY,096715602126,Heigenbrücken,2187
SH,010585889098,Loop,189
MV,130745458080,Utecht,419
BY,092750131131,"Kößlarn, M",1911
SH,010535391025,Duvensee,554
RP,071325010092,Racksen,142
BY,091820123123,Irschenberg,3053
RP,073335006048,Münchweiler an der Alsenz,1181
ST,150850190190,"Ilsenburg (Harz), Stadt",9558
SH,010575727027,Högsdorf,397
RP,073365010034,Haschbach am Remigiusberg,656
BY,091880124124,Herrsching a.Ammersee,11066
