country,country_name,year,party,rank,vote_share,seat_share,share_diff,seats,seats_total,elec_sys
BRB,Barbados,1976,DLP,Top 2,46.4,29.2,-17.2,7,24,First-past-post
BRB,Barbados,1981,BLP,Top 1,52.2,70.8,18.6,17,24,First-past-post
BRB,Barbados,1981,DLP,Top 2,47.1,29.2,-17.9,7,24,First-past-post
BRB,Barbados,1986,DLP,Top 1,59.5,88.9,29.4,24,27,First-past-post
BRB,Barbados,1986,BLP,Top 2,40.4,11.1,-29.3,3,27,First-past-post
BRB,Barbados,1991,DLP,Top 1,49.8,64.3,14.5,18,28,First-past-post
BRB,Barbados,1991,BLP,Top 2,43,35.7,-7.3,10,28,First-past-post
BRB,Barbados,1994,BLP,Top 1,48.8,67.9,19.1,19,28,First-past-post
BRB,Barbados,1994,DLP,Top 2,38.8,28.6,-10.2,8,28,First-past-post
BRB,Barbados,1999,BLP,Top 1,65,92.9,27.9,26,28,First-past-post
BRB,Barbados,1999,DLP,Top 2,35,7.1,-27.9,2,28,First-past-post
BRB,Barbados,2003,BLP,Top 1,55.8,76.7,20.9,23,30,First-past-post
BRB,Barbados,2003,DLP,Top 2,44.1,23.3,-20.8,7,30,First-past-post
BRB,Barbados,2008,DLP,Top 1,67,66.7,-0.3,20,30,First-past-post
BRB,Barbados,2008,BLP,Top 2,33,33.3,0.3,10,30,First-past-post
BRB,Barbados,2013,DLP,Top 1,51.3,53.3,2,16,30,First-past-post
BRB,Barbados,2013,BLP,Top 2,48.2,46.7,-1.5,14,30,First-past-post
BRB,Barbados,2018,BLP,Top 1,72.8,100,27.2,30,30,First-past-post
BRB,Barbados,2018,DLP,Top 2,22.1,0,-22.1,0,30,First-past-post
BTN,Bhutan,2008,DPT,Top 1,67,95.7,28.7,45,47,First-past-post
BTN,Bhutan,2008,PDP,Top 2,33,4.3,-28.7,2,47,First-past-post
BTN,Bhutan,2013,PDP,Top 1,54.9,68.1,13.2,32,47,First-past-post
BTN,Bhutan,2013,DPT,Top 2,45.1,31.9,-13.2,15,47,First-past-post
BWA,Botswana,1969,BDP,Top 1,68.3,77.4,9.1,24,31,First-past-post
BWA,Botswana,1969,BPP,Top 2,12.1,9.7,-2.4,3,31,First-past-post
BWA,Botswana,1969,BNF,Top 3,13.5,9.7,-3.8,3,31,First-past-post
BWA,Botswana,1974,BDP,Top 1,76.6,84.4,7.8,27,32,First-past-post
BWA,Botswana,1974,BPP,Top 2,6.6,6.3,-0.3,2,32,First-past-post
BWA,Botswana,1974,BNF,Top 3,11.5,6.3,-5.2,2,32,First-past-post
BWA,Botswana,1979,BDP,Top 1,75.4,90.6,15.2,29,32,First-past-post
BWA,Botswana,1979,BNF,Top 2,13.1,6.3,-6.8,2,32,First-past-post
BWA,Botswana,1984,BDP,Top 1,68,76.5,8.5,26,34,First-past-post
BWA,Botswana,1984,BNF,Top 2,20.4,20.6,0.2,7,34,First-past-post
BWA,Botswana,1989,BDP,Top 1,64.8,91.2,26.4,31,34,First-past-post
BWA,Botswana,1989,BNF,Top 2,27,8.8,-18.2,3,34,First-past-post
BWA,Botswana,1994,BDP,Top 1,54.4,67.5,13.1,27,40,First-past-post
BWA,Botswana,1994,BNF,Top 2,37.1,32.5,-4.6,13,40,First-past-post
BWA,Botswana,1999,BDP,Top 1,57,82.5,25.5,33,40,First-past-post
BWA,Botswana,1999,BNF,Top 2,26,15,-11,6,40,First-past-post
BWA,Botswana,2004,BDP,Top 1,51.7,77.2,25.5,44,57,First-past-post
BWA,Botswana,2004,BNF,Top 2,26.1,21.1,-5,12,57,First-past-post
BWA,Botswana,2009,BDP,Top 1,53.3,78.9,25.6,45,57,First-past-post
BWA,Botswana,2009,BNF,Top 2,21.9,10.5,-11.4,6,57,First-past-post
BWA,Botswana,2014,BDP,Top 1,46.5,64.9,18.4,37,57,First-past-post
BWA,Botswana,2014,UDC,Top 2,30,29.8,-0.2,17,57,First-past-post
BWA,Botswana,2019,BDP,Top 1,52.7,60.3,7.6,38,63,First-past-post
BWA,Botswana,2019,UDC,Top 2,35.9,23.8,-12.1,15,63,First-past-post
CAN,Canada,1900,LP,Top 1,51.2,62.4,11.2,133,213,First-past-post
CAN,Canada,1900,CPC,Top 2,47.4,37.6,-9.8,80,213,First-past-post
CAN,Canada,1904,LP,Top 1,52,64.5,12.5,138,214,First-past-post
CAN,Canada,1904,CPC,Top 2,46.4,35,-11.4,75,214,First-past-post
CAN,Canada,1908,LP,Top 1,50.4,61.1,10.7,135,221,First-past-post
CAN,Canada,1908,CPC,Top 2,46.8,38.5,-8.3,85,221,First-past-post
CAN,Canada,1911,CPC,Top 1,50.9,60.6,9.7,134,221,First-past-post
CAN,Canada,1911,LP,Top 2,47.7,39.4,-8.3,87,221,First-past-post
CAN,Canada,1917,CPC,Top 1,57,65.1,8.1,153,235,First-past-post
CAN,Canada,1917,LP,Top 2,39.9,34.9,-5,82,235,First-past-post
CAN,Canada,1921,LP,Top 1,40.7,49.4,8.7,116,235,First-past-post
CAN,Canada,1921,PPC,Top 2,22.9,27.2,4.3,64,235,First-past-post
CAN,Canada,1925,CPC,Top 1,46.5,47.3,0.8,116,245,First-past-post
CAN,Canada,1925,LP,Top 2,39.9,40.4,0.5,99,245,First-past-post
CAN,Canada,1926,LP,Top 1,46.1,52.2,6.1,128,245,First-past-post
CAN,Canada,1926,CPC,Top 2,45.3,37.1,-8.2,91,245,First-past-post
CAN,Canada,1930,CPC,Top 1,48.8,55.9,7.1,137,245,First-past-post
CAN,Canada,1930,LP,Top 2,45.2,37.1,-8.1,91,245,First-past-post
CAN,Canada,1935,LP,Top 1,44.8,70.6,25.8,173,245,First-past-post
CAN,Canada,1935,CPC,Top 2,29.6,16.3,-13.3,40,245,First-past-post
CAN,Canada,1940,LP,Top 1,51.5,73.9,22.4,181,245,First-past-post
CAN,Canada,1940,CPC,Top 2,30.6,16.3,-14.3,40,245,First-past-post
CAN,Canada,1945,LP,Top 1,41.4,51,9.6,125,245,First-past-post
CAN,Canada,1945,PCP,Top 2,27.7,27.3,-0.4,67,245,First-past-post
CAN,Canada,1949,LP,Top 1,50.1,72.5,22.4,190,262,First-past-post
CAN,Canada,1949,PCP,Top 2,29.8,15.6,-14.2,41,262,First-past-post
CAN,Canada,1953,LP,Top 1,50,64.5,14.5,171,265,First-past-post
CAN,Canada,1953,PCP,Top 2,31,19.2,-11.8,51,265,First-past-post
CAN,Canada,1957,PCP,Top 1,39,42.3,3.3,112,265,First-past-post
CAN,Canada,1957,LP,Top 2,42.3,39.6,-2.7,105,265,First-past-post
CAN,Canada,1958,PCP,Top 1,53.7,78.5,24.8,208,265,First-past-post
CAN,Canada,1958,LP,Top 2,33.6,18.1,-15.5,48,265,First-past-post
CAN,Canada,1962,PCP,Top 1,37.2,43.8,6.6,116,265,First-past-post
CAN,Canada,1962,LP,Top 2,37.3,37.4,0.1,99,265,First-past-post
CAN,Canada,1963,LP,Top 1,41.7,48.7,7,129,265,First-past-post
CAN,Canada,1963,PCP,Top 2,32.8,35.8,3,95,265,First-past-post
CAN,Canada,1965,LP,Top 1,40.2,49.4,9.2,131,265,First-past-post
CAN,Canada,1965,PCP,Top 2,32.4,36.6,4.2,97,265,First-past-post
CAN,Canada,1968,LP,Top 1,45.5,58.7,13.2,155,264,First-past-post
CAN,Canada,1968,PCP,Top 2,31.4,27.3,-4.1,72,264,First-past-post
CAN,Canada,1972,LP,Top 1,37.5,41.3,3.8,109,264,First-past-post
CAN,Canada,1972,PCP,Top 2,34.1,40.5,6.4,107,264,First-past-post
CAN,Canada,1974,LP,Top 1,43.2,53.4,10.2,141,264,First-past-post
CAN,Canada,1974,PCP,Top 2,35.4,36,0.6,95,264,First-past-post
CAN,Canada,1979,PCP,Top 1,35.9,48.2,12.3,136,282,First-past-post
CAN,Canada,1979,LP,Top 2,40.1,40.4,0.3,114,282,First-past-post
CAN,Canada,1980,LP,Top 1,44.3,52.1,7.8,147,282,First-past-post
CAN,Canada,1980,PCP,Top 2,32.5,36.5,4,103,282,First-past-post
CAN,Canada,1984,PCP,Top 1,50,74.8,24.8,211,282,First-past-post
CAN,Canada,1984,LP,Top 2,28,14.2,-13.8,40,282,First-past-post
CAN,Canada,1988,PCP,Top 1,42.7,57.3,14.6,169,295,First-past-post
CAN,Canada,1988,LP,Top 2,31.7,28.1,-3.6,83,295,First-past-post
CAN,Canada,1993,LP,Top 1,41.3,60,18.7,177,295,First-past-post
CAN,Canada,1993,BQ,Top 2,13.5,18.3,4.8,54,295,First-past-post
CAN,Canada,1997,LP,Top 1,38.5,51.5,13,155,301,First-past-post
CAN,Canada,1997,RPC,Top 2,19.4,19.9,0.5,60,301,First-past-post
CAN,Canada,2000,LP,Top 1,40.9,57.1,16.2,172,301,First-past-post
CAN,Canada,2000,RPC,Top 2,25.5,21.9,-3.6,66,301,First-past-post
CAN,Canada,2004,LP,Top 1,36.7,43.8,7.1,135,308,First-past-post
CAN,Canada,2004,CPC,Top 2,29.6,32.1,2.5,99,308,First-past-post
CAN,Canada,2006,CPC,Top 1,36.3,40.3,4,124,308,First-past-post
CAN,Canada,2006,LP,Top 2,30.2,33.4,3.2,103,308,First-past-post
CAN,Canada,2008,CPC,Top 1,37.7,46.4,8.7,143,308,First-past-post
CAN,Canada,2008,LP,Top 2,26.3,25,-1.3,77,308,First-past-post
CAN,Canada,2011,CPC,Top 1,39.6,53.9,14.3,166,308,First-past-post
CAN,Canada,2011,NDP,Top 2,30.6,33.4,2.8,103,308,First-past-post
CAN,Canada,2015,LP,Top 1,39.5,54.4,14.9,184,338,First-past-post
CAN,Canada,2015,CPC,Top 2,31.9,29.3,-2.6,99,338,First-past-post
CAN,Canada,2019,LP,Top 1,33.1,46.4,13.3,157,338,First-past-post
CAN,Canada,2019,CPC,Top 2,34.4,35.8,1.4,121,338,First-past-post
CHE,Switzerland,1902,FDP,Top 1,50.4,59.9,9.5,100,167,Two-round
CHE,Switzerland,1902,KK/CVP,Top 2,23.1,21.6,-1.5,36,167,Two-round
CHE,Switzerland,1905,FDP,Top 1,49.2,62.3,13.1,104,167,Two-round
CHE,Switzerland,1905,KK/CVP,Top 2,22.5,21.6,-0.9,36,167,Two-round
CHE,Switzerland,1908,FDP,Top 1,50.9,62.9,12,105,167,Two-round
CHE,Switzerland,1908,KK/CVP,Top 2,20.5,21,0.5,35,167,Two-round
CHE,Switzerland,1911,FDP,Top 1,49.5,60.3,10.8,114,189,Two-round
CHE,Switzerland,1911,KK/CVP,Top 2,19.1,20.1,1,38,189,Two-round
CHE,Switzerland,1914,FDP,Top 1,56.1,59.3,3.2,112,189,Two-round
CHE,Switzerland,1914,KK/CVP,Top 2,21.1,19.6,-1.5,37,189,Two-round
CHE,Switzerland,1917,FDP,Top 1,40.8,54.5,13.7,103,189,Two-round
CHE,Switzerland,1917,KK/CVP,Top 2,16.5,22.2,5.7,42,189,Two-round
CIV,Ivory Coast,2016,RHDP,Top 1,50.3,65.5,15.2,167,255,First-past-post
CIV,Ivory Coast,2016,indep,Top 2,38.5,29.8,-8.7,76,255,First-past-post
COM,Comoros,1992,indep,Top 1,9.5,16.7,7.2,7,42,Two-round
COM,Comoros,1992,UDD,Top 2,10.3,16.7,6.4,7,42,Two-round
COM,Comoros,2015,UPDC,Top 1,18.5,33.3,14.8,11,33,Two-round
COM,Comoros,2015,PJ,Top 2,18,30.3,12.3,10,33,Two-round
DNK,Denmark,1901,V,Top 1,42.9,66.7,23.8,76,114,First-past-post
DNK,Denmark,1901,MV,Top 2,11.4,14,2.6,16,114,First-past-post
DNK,Denmark,1903,V,Top 1,47.1,64,16.9,73,114,First-past-post
DNK,Denmark,1903,SD,Top 2,20.1,14,-6.1,16,114,First-past-post
DNK,Denmark,1906,V,Top 1,31.2,49.1,17.9,56,114,First-past-post
DNK,Denmark,1906,SD,Top 2,25.4,21.1,-4.3,24,114,First-past-post
DNK,Denmark,1909,V,Top 1,24,32.5,8.5,37,114,First-past-post
DNK,Denmark,1909,SD,Top 2,28.7,21.1,-7.6,24,114,First-past-post
DNK,Denmark,1910,V,Top 1,34.1,50,15.9,57,114,First-past-post
DNK,Denmark,1910,SD,Top 2,28.3,21.1,-7.2,24,114,First-past-post
DNK,Denmark,1913,V,Top 1,28.6,38.6,10,44,114,First-past-post
DNK,Denmark,1913,SD,Top 2,29.6,28.1,-1.5,32,114,First-past-post
ECU,Ecuador,1998,UDC/DP,Top 1,19,26.4,7.4,32,121,First-past-post
ECU,Ecuador,1998,PSC,Top 2,23.8,22.3,-1.5,27,121,First-past-post
FRA,France,1902,GR,Top 1,29.7,30.4,0.7,175,575,Two-round
FRA,France,1902,Con,Top 2,14.1,25.2,11.1,145,575,Two-round
FRA,France,1906,PR,Top 1,28.5,41.6,13.1,239,575,Two-round
FRA,France,1906,C-FR,Top 2,29.2,18.6,-10.6,107,575,Two-round
FRA,France,1910,PR,Top 1,20.4,25,4.6,145,580,Two-round
FRA,France,1910,UR/AD,Top 2,17.4,23.6,6.2,137,580,Two-round
FRA,France,1914,UR/AD,Top 1,18.8,25.6,6.8,150,586,Two-round
FRA,France,1914,PR,Top 2,18.1,23.4,5.3,137,586,Two-round
FRA,France,1919,UR/AD,Top 1,22.7,32.6,9.9,201,616,Two-round
FRA,France,1919,PR,Top 2,17.7,17.2,-0.5,106,616,Two-round
FRA,France,1924,UR/AD,Top 1,35.4,35.5,0.1,204,574,Two-round
FRA,France,1924,PR,Top 2,17.9,28.2,10.3,162,574,Two-round
FRA,France,1928,UR/AD,Top 1,22,30.2,8.2,182,602,Two-round
FRA,France,1928,PR,Top 2,17.8,19.9,2.1,120,602,Two-round
FRA,France,1932,PR,Top 1,19.2,26,6.8,157,605,Two-round
FRA,France,1932,PS,Top 2,20.5,21.3,0.8,129,605,Two-round
FRA,France,1936,UR/AD,Top 1,16.9,36.5,19.6,222,608,Two-round
FRA,France,1936,PS,Top 2,19.9,24.5,4.6,149,608,Two-round
FRA,France,1958,UNR,Top 1,20.6,42.6,22,198,465,Two-round
FRA,France,1958,CNIP,Top 2,20,28.6,8.6,133,465,Two-round
FRA,France,1962,UNR,Top 1,33.7,49.5,15.8,230,465,Two-round
FRA,France,1962,PS,Top 2,12.4,13.8,1.4,64,465,Two-round
FRA,France,1967,UDR,Top 1,33,40.6,7.6,191,470,Two-round
FRA,France,1967,PS,Top 2,18.9,25.1,6.2,118,470,Two-round
FRA,France,1968,UDR,Top 1,38,60,22,282,470,Two-round
FRA,France,1968,RI,Top 2,8.4,13.6,5.2,64,470,Two-round
FRA,France,1973,UDR,Top 1,26,37.6,11.6,178,473,Two-round
FRA,France,1973,PS,Top 2,19.1,18.8,-0.3,89,473,Two-round
FRA,France,1978,RPR,Top 1,22.5,30,7.5,142,474,Two-round
FRA,France,1978,UDF,Top 2,21.6,26.2,4.6,124,474,Two-round
FRA,France,1981,PS,Top 1,36,56.5,20.5,268,474,Two-round
FRA,France,1981,RPR,Top 2,20.7,16.9,-3.8,80,474,Two-round
FRA,France,1988,PS,Top 1,34.9,46.8,11.9,260,555,Two-round
FRA,France,1988,UDF,Top 2,18.8,23.4,4.6,130,555,Two-round
FRA,France,1993,RPR,Top 1,20.4,43,22.6,248,577,Two-round
FRA,France,1993,UDF,Top 2,19.1,37.3,18.2,215,577,Two-round
FRA,France,1997,PS,Top 1,23.5,43.7,20.2,252,577,Two-round
FRA,France,1997,RPR,Top 2,15.7,24.1,8.4,139,577,Two-round
FRA,France,2002,UMP,Top 1,33.3,61.7,28.4,356,577,Two-round
FRA,France,2002,PS,Top 2,24.1,24.4,0.3,141,577,Two-round
FRA,France,2007,UMP,Top 1,39.5,54.2,14.7,313,577,Two-round
FRA,France,2007,PS,Top 2,24.7,32.2,7.5,186,577,Two-round
FRA,France,2012,PS,Top 1,29.4,48.5,19.1,280,577,Two-round
FRA,France,2012,UMP,Top 2,27.1,33.6,6.5,194,577,Two-round
FRA,France,2017,LaREM,Top 1,28.2,53.4,25.2,308,577,Two-round
FRA,France,2017,UMP,Top 2,15.8,19.4,3.6,112,577,Two-round
GBR,United Kingdom,1900,Con,Top 1,41.2,49.9,8.7,334,670,First-past-post
GBR,United Kingdom,1900,Lib,Top 2,41.2,27.5,-13.7,184,670,First-past-post
GBR,United Kingdom,1906,Lib,Top 1,44.5,59.7,15.2,400,670,First-past-post
GBR,United Kingdom,1906,Con,Top 2,36.8,19.6,-17.2,131,670,First-past-post
GBR,United Kingdom,1910,Lib,Top 1,40.7,40.4,-0.3,271,670,First-past-post
GBR,United Kingdom,1910,Con,Top 2,40.6,33.4,-7.2,224,670,First-past-post
GBR,United Kingdom,1918,Con,Top 1,38.4,54,15.6,382,707,First-past-post
GBR,United Kingdom,1918,NLP-LG,Top 2,12.6,18,5.4,127,707,First-past-post
GBR,United Kingdom,1922,Con,Top 1,38.2,55.9,17.7,344,615,First-past-post
GBR,United Kingdom,1922,Lab,Top 2,29.4,23.1,-6.3,142,615,First-past-post
GBR,United Kingdom,1923,Con,Top 1,38,42,4,258,615,First-past-post
GBR,United Kingdom,1923,Lab,Top 2,30.7,31.1,0.4,191,615,First-past-post
GBR,United Kingdom,1924,Con,Top 1,47.2,67,19.8,412,615,First-past-post
GBR,United Kingdom,1924,Lab,Top 2,33,24.6,-8.4,151,615,First-past-post
GBR,United Kingdom,1929,Lab,Top 1,37,46.7,9.7,287,615,First-past-post
GBR,United Kingdom,1929,Con,Top 2,38.2,42.3,4.1,260,615,First-past-post
GBR,United Kingdom,1931,Con,Top 1,55,76.4,21.4,470,615,First-past-post
GBR,United Kingdom,1931,Lab,Top 2,30.7,8.5,-22.2,52,615,First-past-post
GBR,United Kingdom,1935,Con,Top 1,47.7,62.9,15.2,387,615,First-past-post
GBR,United Kingdom,1935,Lab,Top 2,37.9,25,-12.9,154,615,First-past-post
GBR,United Kingdom,1945,Lab,Top 1,48,61.4,13.4,393,640,First-past-post
GBR,United Kingdom,1945,Con,Top 2,36.2,30.8,-5.4,197,640,First-past-post
GBR,United Kingdom,1950,Lab,Top 1,46.1,50.4,4.3,315,625,First-past-post
GBR,United Kingdom,1950,Con,Top 2,43.4,47.7,4.3,298,625,First-past-post
GBR,United Kingdom,1951,Con,Top 1,48,51.4,3.4,321,625,First-past-post
GBR,United Kingdom,1951,Lab,Top 2,48.8,47.2,-1.6,295,625,First-past-post
GBR,United Kingdom,1955,Con,Top 1,49.7,54.8,5.1,345,630,First-past-post
GBR,United Kingdom,1955,Lab,Top 2,46.4,44,-2.4,277,630,First-past-post
GBR,United Kingdom,1959,Con,Top 1,49.4,57.9,8.5,365,630,First-past-post
GBR,United Kingdom,1959,Lab,Top 2,43.8,41,-2.8,258,630,First-past-post
GBR,United Kingdom,1964,Lab,Top 1,44.1,50.3,6.2,317,630,First-past-post
GBR,United Kingdom,1964,Con,Top 2,43.4,48.3,4.9,304,630,First-past-post
GBR,United Kingdom,1966,Lab,Top 1,48,57.8,9.8,364,630,First-past-post
GBR,United Kingdom,1966,Con,Top 2,41.9,40.2,-1.7,253,630,First-past-post
GBR,United Kingdom,1970,Con,Top 1,46.4,52.4,6,330,630,First-past-post
GBR,United Kingdom,1970,Lab,Top 2,43.1,45.7,2.6,288,630,First-past-post
GBR,United Kingdom,1974,Lab,Top 1,39.2,50.2,11,319,635,First-past-post
GBR,United Kingdom,1974,Con,Top 2,35.8,43.6,7.8,277,635,First-past-post
GBR,United Kingdom,1979,Con,Top 1,43.9,53.4,9.5,339,635,First-past-post
GBR,United Kingdom,1979,Lab,Top 2,36.9,42.4,5.5,269,635,First-past-post
GBR,United Kingdom,1983,Con,Top 1,42.4,61.1,18.7,397,650,First-past-post
GBR,United Kingdom,1983,Lab,Top 2,27.6,32.2,4.6,209,650,First-past-post
GBR,United Kingdom,1987,Con,Top 1,42.3,57.8,15.5,376,650,First-past-post
GBR,United Kingdom,1987,Lab,Top 2,30.8,35.2,4.4,229,650,First-past-post
GBR,United Kingdom,1992,Con,Top 1,41.9,51.6,9.7,336,651,First-past-post
GBR,United Kingdom,1992,Lab,Top 2,34.9,41.6,6.7,271,651,First-past-post
GBR,United Kingdom,1997,Lab,Top 1,43.2,63.6,20.4,419,659,First-past-post
GBR,United Kingdom,1997,Con,Top 2,30.7,25,-5.7,165,659,First-past-post
GBR,United Kingdom,2001,Lab,Top 1,40.7,62.5,21.8,412,659,First-past-post
GBR,United Kingdom,2001,Con,Top 2,31.7,25.2,-6.5,166,659,First-past-post
GBR,United Kingdom,2005,Lab,Top 1,35.2,55,19.8,355,646,First-past-post
GBR,United Kingdom,2005,Con,Top 2,32.4,30.7,-1.7,198,646,First-past-post
GBR,United Kingdom,2010,Con,Top 1,36.1,47.2,11.1,307,650,First-past-post
GBR,United Kingdom,2010,Lab,Top 2,29,39.7,10.7,258,650,First-past-post
GBR,United Kingdom,2015,Con,Top 1,36.9,50.9,14,331,650,First-past-post
GBR,United Kingdom,2015,Lab,Top 2,30.5,35.7,5.2,232,650,First-past-post
GBR,United Kingdom,2017,Con,Top 1,42.5,48.9,6.4,318,650,First-past-post
GBR,United Kingdom,2017,Lab,Top 2,40,40.3,0.3,262,650,First-past-post
GBR,United Kingdom,2019,Con,Top 1,43.6,56,12.4,364,650,First-past-post
GBR,United Kingdom,2019,Lab,Top 2,32.2,31.2,-1,203,650,First-past-post
GHA,Ghana,2004,NPP,Top 1,55.6,55.7,0.1,128,230,First-past-post
GHA,Ghana,2004,NDC,Top 2,40.9,40.9,0,94,230,First-past-post
GHA,Ghana,2016,NDC,Top 1,46.4,53.6,7.2,148,276,First-past-post
GHA,Ghana,2016,NPP,Top 2,47.5,44.6,-2.9,123,276,First-past-post
GMB,The Gambia,1977,PPP,Top 1,69.6,81.8,12.2,27,33,First-past-post
GMB,The Gambia,1977,NCP,Top 2,22.7,15.2,-7.5,5,33,First-past-post
GMB,The Gambia,1982,PPP,Top 1,61.7,77.1,15.4,27,35,First-past-post
GMB,The Gambia,1982,NCP,Top 2,19.7,8.6,-11.1,3,35,First-past-post
GMB,The Gambia,1987,PPP,Top 1,56.6,86.1,29.5,31,36,First-past-post
GMB,The Gambia,1987,NCP,Top 2,27.6,13.9,-13.7,5,36,First-past-post
GMB,The Gambia,2017,UDP,Top 1,37,53.4,16.4,31,58,First-past-post
GMB,The Gambia,2017,NRP,Top 2,6.3,8.6,2.3,5,58,First-past-post
GMB,The Gambia,2017,APRC,Top 3,16,8.6,-7.4,5,58,First-past-post
GMB,The Gambia,2017,GDC,Top 4,17,8.6,-8.4,5,58,First-past-post
IND,India,1957,INC,Top 1,47.5,68.1,20.6,371,545,First-past-post
IND,India,1957,indep,Top 2,19.4,7.7,-11.7,42,545,First-past-post
IND,India,1962,INC,Top 1,44.7,73.1,28.4,361,494,First-past-post
IND,India,1962,CPI,Top 2,9.9,5.9,-4,29,494,First-past-post
IND,India,1967,INC,Top 1,40.8,51.9,11.1,283,545,First-past-post
IND,India,1967,SWP,Top 2,8.7,8.1,-0.6,44,545,First-past-post
IND,India,1971,INC,Top 1,43.7,68,24.3,352,518,First-past-post
IND,India,1971,CPI(M),Top 2,5.1,4.8,-0.3,25,518,First-past-post
IND,India,1977,JNP,Top 1,41.3,54.4,13.1,295,542,First-past-post
IND,India,1977,INC,Top 2,34.5,28.4,-6.1,154,542,First-past-post
IND,India,1980,INC,Top 1,42.7,65.1,22.4,353,542,First-past-post
IND,India,1980,JP,Top 2,9.4,7.6,-1.8,41,542,First-past-post
IND,India,1984,INC,Top 1,48,76.6,28.6,415,542,First-past-post
IND,India,1984,CPI(M),Top 2,5.7,4.1,-1.6,22,542,First-past-post
IND,India,1989,INC,Top 1,40.6,36.3,-4.3,197,543,First-past-post
IND,India,1989,JD,Top 2,17.7,26.2,8.5,142,543,First-past-post
IND,India,1991,INC,Top 1,36.5,42.7,6.2,232,543,First-past-post
IND,India,1991,BJP,Top 2,20.1,22.1,2,120,543,First-past-post
IND,India,1996,BJP,Top 1,20.3,29.7,9.4,161,543,First-past-post
IND,India,1996,INC,Top 2,28.8,25.8,-3,140,543,First-past-post
IND,India,1998,BJP,Top 1,25.5,33.5,8,182,543,First-past-post
IND,India,1998,INC,Top 2,25.9,26,0.1,141,543,First-past-post
IND,India,1999,BJP,Top 1,23.8,33.5,9.7,182,543,First-past-post
IND,India,1999,INC,Top 2,28.3,21,-7.3,114,543,First-past-post
IND,India,2004,INC,Top 1,26.5,26.9,0.4,146,543,First-past-post
IND,India,2004,BJP,Top 2,22.2,25.2,3,137,543,First-past-post
IND,India,2019,BJP,Top 1,37.4,55.8,18.4,303,543,First-past-post
IND,India,2019,INC,Top 2,19.5,9.6,-9.9,52,543,First-past-post
JAM,Jamaica,1955,PNP,Top 1,50.5,56.3,5.8,18,32,First-past-post
JAM,Jamaica,1955,JLP,Top 2,39,43.8,4.8,14,32,First-past-post
JAM,Jamaica,1959,PNP,Top 1,54.8,64.4,9.6,29,45,First-past-post
JAM,Jamaica,1959,JLP,Top 2,44.3,35.6,-8.7,16,45,First-past-post
JAM,Jamaica,1962,JLP,Top 1,50.1,57.8,7.7,26,45,First-past-post
JAM,Jamaica,1962,PNP,Top 2,48.6,42.2,-6.4,19,45,First-past-post
JAM,Jamaica,1967,JLP,Top 1,50,62.3,12.3,33,53,First-past-post
JAM,Jamaica,1967,PNP,Top 2,49.7,37.7,-12,20,53,First-past-post
JAM,Jamaica,1972,PNP,Top 1,56.5,69.8,13.3,37,53,First-past-post
JAM,Jamaica,1972,JLP,Top 2,43.2,28.3,-14.9,15,53,First-past-post
JAM,Jamaica,1976,PNP,Top 1,56.8,78.3,21.5,47,60,First-past-post
JAM,Jamaica,1976,JLP,Top 2,43.2,21.7,-21.5,13,60,First-past-post
JAM,Jamaica,1980,JLP,Top 1,57.6,86.7,29.1,52,60,First-past-post
